"L","M","U","x","G","Seasonality","drug"
0.0235446647101313,0.0988652234932866,0.189600249530008,9,"IC50_S","sesonality1","Drug A"
0.0223353345499583,0.0983947792872332,0.188756384076976,10,"IC50_S","sesonality1","Drug A"
0.0220264705563868,0.0986106429687742,0.189279894879425,11,"IC50_S","sesonality1","Drug A"
0.0231883387419731,0.0986471682811625,0.190129219187045,12,"IC50_S","sesonality1","Drug A"
0.0225519974140172,0.0978722761453873,0.189496073987261,13,"IC50_S","sesonality1","Drug A"
0.0216096289630268,0.0966080558888142,0.18847822417789,14,"IC50_S","sesonality1","Drug A"
0.0229005262907853,0.0979788552436463,0.185822853342464,15,"IC50_S","sesonality1","Drug A"
0.024504838789492,0.102605596145532,0.192587381885127,16,"IC50_S","sesonality1","Drug A"
0.0229736645196142,0.0982146730135678,0.189836655744181,17,"IC50_S","sesonality1","Drug A"
0.0233603518997528,0.0990571954148268,0.190258132128267,18,"IC50_S","sesonality1","Drug A"
0.0221299517144717,0.0980121698341227,0.189547403678958,19,"IC50_S","sesonality1","Drug A"
0.0238054290461846,0.100754742268433,0.193506969548478,20,"IC50_S","sesonality1","Drug A"
0.0220677737016536,0.0968645015862317,0.187294048119254,21,"IC50_S","sesonality1","Drug A"
0.0233561150824302,0.0976156298022391,0.190282820564111,22,"IC50_S","sesonality1","Drug A"
0.0224965656288873,0.0994580363544775,0.191901448432217,23,"IC50_S","sesonality1","Drug A"
0.0235298115856754,0.0997266640290042,0.192315549463889,24,"IC50_S","sesonality1","Drug A"
0.0251037214076535,0.102177646529125,0.191430512967109,25,"IC50_S","sesonality1","Drug A"
0.0240189100198876,0.101217753835093,0.191561402444772,26,"IC50_S","sesonality1","Drug A"
0.0243882018599137,0.100329563982468,0.191888248002053,27,"IC50_S","sesonality1","Drug A"
0.0241252755799254,0.101918926390029,0.193388951651602,28,"IC50_S","sesonality1","Drug A"
0.0215762897577801,0.0966100745206542,0.189255826759266,29,"IC50_S","sesonality1","Drug A"
0.0229988870211055,0.0983593414477554,0.189435974185205,30,"IC50_S","sesonality1","Drug A"
0.0244162837475129,0.0999032393442766,0.189650023728292,31,"IC50_S","sesonality1","Drug A"
0.0241681836811641,0.100291917485286,0.190812311137779,32,"IC50_S","sesonality1","Drug A"
0.0213167119489563,0.0983870716217102,0.191908869827806,33,"IC50_S","sesonality1","Drug A"
0.0204590836847577,0.0996389124969049,0.191376600787543,34,"IC50_S","sesonality1","Drug A"
0.0234757400407451,0.0996172410448091,0.191057137829688,35,"IC50_S","sesonality1","Drug A"
0.0239811344347062,0.0992911676196281,0.191755886587688,36,"IC50_S","sesonality1","Drug A"
0.0247501137645172,0.100152593058106,0.190842583606702,37,"IC50_S","sesonality1","Drug A"
0.0277822802187932,0.10116681779148,0.192776112731407,38,"IC50_S","sesonality1","Drug A"
0.0239907018553163,0.100146031645896,0.195027862328273,39,"IC50_S","sesonality1","Drug A"
NA,NA,NA,40,"IC50_S","sesonality1","Drug A"
-0.0792465576925018,-0.0494946135458005,-0.0192525235931472,1,"Resistance level of drug A","sesonality1","Drug A"
-0.0699768274967332,-0.0396044489508819,-0.00815677756926109,2,"Resistance level of drug A","sesonality1","Drug A"
-0.0582268898627898,-0.0267166560227109,0.00559748522796154,3,"Resistance level of drug A","sesonality1","Drug A"
-0.045166921782611,-0.0127167434009238,0.021956305692267,4,"Resistance level of drug A","sesonality1","Drug A"
-0.0316180887509887,0.00209478103882328,0.0401335395621746,5,"Resistance level of drug A","sesonality1","Drug A"
-0.0168010746151712,0.0185242412426137,0.0591546257001937,6,"Resistance level of drug A","sesonality1","Drug A"
-0.00134574992300029,0.0359015254917432,0.0808373390096686,7,"Resistance level of drug A","sesonality1","Drug A"
0.0113705207207264,0.0523151268514684,0.0998136165381606,8,"Resistance level of drug A","sesonality1","Drug A"
0.0248333786427927,0.0714037998676017,0.12146421033047,9,"Resistance level of drug A","sesonality1","Drug A"
0.032776193089332,0.0854887932180013,0.139782981960257,10,"Resistance level of drug A","sesonality1","Drug A"
0.0399372742296241,0.0990016499499805,0.15662684183264,11,"Resistance level of drug A","sesonality1","Drug A"
0.0452207170591977,0.108523432784992,0.169588258371566,12,"Resistance level of drug A","sesonality1","Drug A"
0.051579393359662,0.117013747981761,0.181709113657896,13,"Resistance level of drug A","sesonality1","Drug A"
0.0520098629495235,0.123925459999619,0.191390921956154,14,"Resistance level of drug A","sesonality1","Drug A"
0.0540878691328722,0.125663324030976,0.197794234809505,15,"Resistance level of drug A","sesonality1","Drug A"
0.0580231780879002,0.129972787598736,0.203752330595558,16,"Resistance level of drug A","sesonality1","Drug A"
0.0563718847920258,0.134705380939705,0.211825714236359,17,"Resistance level of drug A","sesonality1","Drug A"
0.058024099395624,0.1341831437933,0.211210087476246,18,"Resistance level of drug A","sesonality1","Drug A"
0.0600995565057871,0.133909396058942,0.213569372999291,19,"Resistance level of drug A","sesonality1","Drug A"
0.0606206286948545,0.135752541365782,0.216290938767687,20,"Resistance level of drug A","sesonality1","Drug A"
0.0580272582609734,0.13558301262162,0.218853673174641,21,"Resistance level of drug A","sesonality1","Drug A"
0.0604866404194977,0.135019854299892,0.219280965972684,22,"Resistance level of drug A","sesonality1","Drug A"
0.061018243483288,0.136126758498152,0.219480346043082,23,"Resistance level of drug A","sesonality1","Drug A"
0.0632599901931236,0.139723253653697,0.221318202262286,24,"Resistance level of drug A","sesonality1","Drug A"
0.0591824915273651,0.137194243461383,0.222393018158354,25,"Resistance level of drug A","sesonality1","Drug A"
0.0604955468887673,0.137069792465885,0.219923248467874,26,"Resistance level of drug A","sesonality1","Drug A"
0.0612498582179537,0.139996291741746,0.22453942500346,27,"Resistance level of drug A","sesonality1","Drug A"
0.0644858707693576,0.140392460283891,0.224833505975926,28,"Resistance level of drug A","sesonality1","Drug A"
0.0644624559305855,0.143460616915514,0.228257901607469,29,"Resistance level of drug A","sesonality1","Drug A"
0.0639756429597368,0.143366639062839,0.228768108716351,30,"Resistance level of drug A","sesonality1","Drug A"
0.0663220862988544,0.144972956015855,0.230175861813715,31,"Resistance level of drug A","sesonality1","Drug A"
0.0653146314075149,0.146231458443729,0.230010308229868,32,"Resistance level of drug A","sesonality1","Drug A"
0.0681553573895503,0.15146780885722,0.237074258950993,33,"Resistance level of drug A","sesonality1","Drug A"
0.0672227908717421,0.147312054165213,0.23234365275761,34,"Resistance level of drug A","sesonality1","Drug A"
0.0663122449129861,0.149703598433713,0.236677825217388,35,"Resistance level of drug A","sesonality1","Drug A"
0.0683289747647847,0.150872224383325,0.239764695139979,36,"Resistance level of drug A","sesonality1","Drug A"
0.070087503356222,0.152794752982862,0.242907557942907,37,"Resistance level of drug A","sesonality1","Drug A"
0.0705092801828814,0.155409796663736,0.243367391326237,38,"Resistance level of drug A","sesonality1","Drug A"
0.0679246032364722,0.154728503931308,0.243704624673416,39,"Resistance level of drug A","sesonality1","Drug A"
NA,NA,NA,40,"Resistance level of drug A","sesonality1","Drug A"
0.0518810381141916,0.1286883855969,0.227939595689609,1,"half_life","sesonality1","Drug A"
0.0497076914934595,0.125521399149375,0.221999087112954,2,"half_life","sesonality1","Drug A"
0.0494624466210105,0.128695830433767,0.225650992075742,3,"half_life","sesonality1","Drug A"
0.0487642310301577,0.125611486550021,0.222221525445164,4,"half_life","sesonality1","Drug A"
0.0453282898918053,0.124188763702383,0.219887759722887,5,"half_life","sesonality1","Drug A"
0.0419254130464842,0.120032510573825,0.214243209448423,6,"half_life","sesonality1","Drug A"
0.0408984148568844,0.118538408208959,0.212864669120402,7,"half_life","sesonality1","Drug A"
0.0381502418395226,0.115058483888161,0.209690142152676,8,"half_life","sesonality1","Drug A"
0.0368925832086362,0.112145809855857,0.202809474534839,9,"half_life","sesonality1","Drug A"
0.0337025146413919,0.111106162687702,0.207214930966764,10,"half_life","sesonality1","Drug A"
0.0319251455033391,0.108508470930305,0.201192126109329,11,"half_life","sesonality1","Drug A"
0.0271095856516629,0.105045503221797,0.197336358489716,12,"half_life","sesonality1","Drug A"
0.0275023423857993,0.106819905409313,0.19902419779774,13,"half_life","sesonality1","Drug A"
0.0256261829935572,0.103176969021733,0.1937387959196,14,"half_life","sesonality1","Drug A"
0.0265882879883966,0.103267200898392,0.192469018097805,15,"half_life","sesonality1","Drug A"
0.0218545938895881,0.0970106338819315,0.189369329771483,16,"half_life","sesonality1","Drug A"
0.0215048103106376,0.0956871842910243,0.187320076270918,17,"half_life","sesonality1","Drug A"
0.0175336599131976,0.0949497091145196,0.18828570244631,18,"half_life","sesonality1","Drug A"
0.019073994757028,0.093780815919231,0.185908058110217,19,"half_life","sesonality1","Drug A"
0.0168521606905751,0.0940324403007553,0.183428264310689,20,"half_life","sesonality1","Drug A"
0.0177142111745896,0.0924318629228365,0.182843773324758,21,"half_life","sesonality1","Drug A"
0.0175477438215974,0.0921349012429232,0.181405726093821,22,"half_life","sesonality1","Drug A"
0.0138161189019965,0.0882978545801884,0.179176316390061,23,"half_life","sesonality1","Drug A"
0.0125758201193792,0.0882303610001676,0.179427246149002,24,"half_life","sesonality1","Drug A"
0.0133729390950503,0.0897504537112235,0.180773651556717,25,"half_life","sesonality1","Drug A"
0.0122753977223021,0.0856829236310509,0.173316769149479,26,"half_life","sesonality1","Drug A"
0.0134682191567258,0.0887798156231054,0.175685790280333,27,"half_life","sesonality1","Drug A"
0.0127648707708695,0.0891266252192061,0.175011734547654,28,"half_life","sesonality1","Drug A"
0.0102964207894641,0.084708178130588,0.174607039921388,29,"half_life","sesonality1","Drug A"
0.0108519706464862,0.0865457895903307,0.175477833888661,30,"half_life","sesonality1","Drug A"
0.0122903752241339,0.0879028386737675,0.175191473625517,31,"half_life","sesonality1","Drug A"
0.0110344059036491,0.0837553018049604,0.172172301478873,32,"half_life","sesonality1","Drug A"
0.0112208101887478,0.0865395415180694,0.172932942802496,33,"half_life","sesonality1","Drug A"
0.011139786915053,0.0855707249575787,0.173936635789149,34,"half_life","sesonality1","Drug A"
0.0110023875604712,0.0869280735286248,0.174125214202866,35,"half_life","sesonality1","Drug A"
0.0117833175034666,0.0853495480288993,0.172782093624841,36,"half_life","sesonality1","Drug A"
0.0113373846054961,0.0836768941286486,0.171226575136178,37,"half_life","sesonality1","Drug A"
0.0128093219899852,0.0869339544700979,0.17386194428616,38,"half_life","sesonality1","Drug A"
0.0122572477537714,0.0861562138331313,0.174163882179629,39,"half_life","sesonality1","Drug A"
NA,NA,NA,40,"half_life","sesonality1","Drug A"
0.0260248109616886,0.100440273053119,0.192022023665739,1,"MKR","sesonality1","Drug A"
0.0263453971777179,0.0990681371234479,0.189047645727367,2,"MKR","sesonality1","Drug A"
0.0264552171362739,0.102042714929729,0.194412326476525,3,"MKR","sesonality1","Drug A"
0.0277732560188123,0.102703505670416,0.193102269349594,4,"MKR","sesonality1","Drug A"
0.0269635994079236,0.099941793865636,0.191747425521917,5,"MKR","sesonality1","Drug A"
0.0264073749865713,0.10062405502766,0.193223031276475,6,"MKR","sesonality1","Drug A"
0.0252998663541575,0.10079143113288,0.192669966567963,7,"MKR","sesonality1","Drug A"
0.0245900636690524,0.101304466179421,0.193359252677477,8,"MKR","sesonality1","Drug A"
0.0242501460259468,0.101034369859332,0.192569725132778,9,"MKR","sesonality1","Drug A"
0.0236259052332646,0.100167378219827,0.19140478936595,10,"MKR","sesonality1","Drug A"
0.0242552546116305,0.0999615985842995,0.191971330600514,11,"MKR","sesonality1","Drug A"
0.02207823181956,0.0957382632765965,0.189102979093416,12,"MKR","sesonality1","Drug A"
0.0248703688999234,0.101645127012856,0.193034909155784,13,"MKR","sesonality1","Drug A"
0.0238755513973148,0.101871178572248,0.193496682577152,14,"MKR","sesonality1","Drug A"
0.023883453689097,0.099491049792006,0.191548177045402,15,"MKR","sesonality1","Drug A"
0.0229574669095321,0.101271144605216,0.19438309477202,16,"MKR","sesonality1","Drug A"
0.0220050432834485,0.0988663919815489,0.189890107788064,17,"MKR","sesonality1","Drug A"
0.0234780700869828,0.10184149204993,0.191646149231635,18,"MKR","sesonality1","Drug A"
0.0224981966786597,0.0988033522466288,0.191878900083674,19,"MKR","sesonality1","Drug A"
0.020748846412531,0.0964297437992616,0.189263593930969,20,"MKR","sesonality1","Drug A"
0.0238038080155982,0.0985331466902698,0.189818063915469,21,"MKR","sesonality1","Drug A"
0.0238500029947243,0.101373293057452,0.191779425557153,22,"MKR","sesonality1","Drug A"
0.0222577579994847,0.0994047609804432,0.192415073383462,23,"MKR","sesonality1","Drug A"
0.0229389608218123,0.100171728823059,0.194830639488306,24,"MKR","sesonality1","Drug A"
0.0187587348287146,0.0987102885058633,0.188569140229825,25,"MKR","sesonality1","Drug A"
0.0230169952578492,0.102496958969875,0.189038128014781,26,"MKR","sesonality1","Drug A"
0.0239789983246893,0.0999409720720653,0.188950154830779,27,"MKR","sesonality1","Drug A"
0.0210832783949167,0.0992600150963822,0.189578880437271,28,"MKR","sesonality1","Drug A"
0.0230670425055784,0.098321262719416,0.18721419942682,29,"MKR","sesonality1","Drug A"
0.0225774021909933,0.0964242691765094,0.188433842039332,30,"MKR","sesonality1","Drug A"
0.0231065855188899,0.098578326645375,0.187561123490439,31,"MKR","sesonality1","Drug A"
0.0207478134890081,0.0957122479470055,0.184393434313435,32,"MKR","sesonality1","Drug A"
0.0204190865514801,0.095590859293965,0.186348898518516,33,"MKR","sesonality1","Drug A"
0.0204301241666033,0.0948412996876957,0.185003792783362,34,"MKR","sesonality1","Drug A"
0.0231164716092977,0.0958987116702716,0.184534562431983,35,"MKR","sesonality1","Drug A"
0.022511640517983,0.0966528668176503,0.185759662545534,36,"MKR","sesonality1","Drug A"
0.0211416822868882,0.0969413895952231,0.183421331212831,37,"MKR","sesonality1","Drug A"
0.0211965528659729,0.0959387138263171,0.182914611531964,38,"MKR","sesonality1","Drug A"
0.0224957366733281,0.0979588584170152,0.186573523883116,39,"MKR","sesonality1","Drug A"
NA,NA,NA,40,"MKR","sesonality1","Drug A"
0.0306728032977351,0.105717145503532,0.19512850118272,1,"Diagnostic","sesonality1","Drug A"
0.0305826666321574,0.105508133827834,0.193751844958219,2,"Diagnostic","sesonality1","Drug A"
0.0295730433044949,0.10617716695821,0.192835894189753,3,"Diagnostic","sesonality1","Drug A"
0.025774867992879,0.10386548120702,0.192931408245758,4,"Diagnostic","sesonality1","Drug A"
0.0242934363118025,0.101976874402819,0.193299134747119,5,"Diagnostic","sesonality1","Drug A"
0.027644140439249,0.104490397552807,0.193176247281396,6,"Diagnostic","sesonality1","Drug A"
0.0246027260494437,0.102133747793453,0.191528119806536,7,"Diagnostic","sesonality1","Drug A"
0.0227252363407136,0.0996332689558898,0.190414795453548,8,"Diagnostic","sesonality1","Drug A"
0.022879491831912,0.100984029373726,0.191824665821904,9,"Diagnostic","sesonality1","Drug A"
0.0224118610522592,0.101937135052021,0.193549095957856,10,"Diagnostic","sesonality1","Drug A"
0.0220772177304514,0.0988770770062845,0.190320929409707,11,"Diagnostic","sesonality1","Drug A"
0.0232389841536584,0.0990850926314586,0.189208495654441,12,"Diagnostic","sesonality1","Drug A"
0.0192534485598411,0.0947142724946962,0.186300713910513,13,"Diagnostic","sesonality1","Drug A"
0.0191802790544058,0.0960864478641042,0.186930802144644,14,"Diagnostic","sesonality1","Drug A"
0.0183174851089597,0.0944522398389768,0.18717571896936,15,"Diagnostic","sesonality1","Drug A"
0.0223622008979421,0.0963645214565877,0.188630436288606,16,"Diagnostic","sesonality1","Drug A"
0.02395840635353,0.100404164380739,0.191635679978211,17,"Diagnostic","sesonality1","Drug A"
0.0196893629427027,0.0953135990419701,0.187803733227275,18,"Diagnostic","sesonality1","Drug A"
0.0229479975784586,0.098636465047343,0.190638054410887,19,"Diagnostic","sesonality1","Drug A"
0.0217575403454824,0.0987265426585508,0.190052748759583,20,"Diagnostic","sesonality1","Drug A"
0.0229575636537515,0.0984645431436432,0.188296957577933,21,"Diagnostic","sesonality1","Drug A"
0.02211876300865,0.0995406061018826,0.189450571676833,22,"Diagnostic","sesonality1","Drug A"
0.0221851958716369,0.096513238181813,0.186532386978854,23,"Diagnostic","sesonality1","Drug A"
0.0246460379957238,0.100600675937478,0.19260336111726,24,"Diagnostic","sesonality1","Drug A"
0.0234217660204013,0.0998668103086634,0.189189500169606,25,"Diagnostic","sesonality1","Drug A"
0.0235657462119434,0.100319354778843,0.191262404593843,26,"Diagnostic","sesonality1","Drug A"
0.0244335786947531,0.101424734509434,0.191746572982269,27,"Diagnostic","sesonality1","Drug A"
